Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Ferran Adrià,La_Original.mp3,2000,Vaya Liada,Bon dia,Millor del que pensava,Mi Estrella Blanca,Al mar!,"Hey, Soul Sister",LA PLATJA,Don't Stop The Music,Que Chévere
Hay Que Venir Al Sur,Por la Raja de Tu Falda,Beggin',Escopinya,I Gotta Feeling,Fiesta Pagana,L'ona,Te he echado de menos,Highway to Hell,Grup de Pop,La Vida Es Un Carnaval,Bon dia
The Lazy Song,Girls Just Want to Have Fun,Te Pintaron Pajaritos,Matchday (Ale Ale Ale),T'he Trobat a Faltar,Una Lluna a L'Aigua,Pasado Pisado,Camins,Die Young,Highway to Hell,"Lo Que Pasó, Pasó",El Fin del Mundo
Todos los días sale el sol,Lagrimas De Amor,6 DE FEBRERO,NUEVAYoL,La Revolución Sexual,Por la Raja de Tu Falda,Dos Hombres Y Un Destino,Bon dia,L'ona,TOCA,LA GAVINA (MAMBO REMIX),La Bilirrubina
Mamma Mia,Maquillaje,YMCA,Cuando Brille el Sol,Camins,Mi Estrella Blanca,T'he Trobat a Faltar,Die Young,"Marta, Sebas, Guille y los demás",15 Dies,Breaking Free,La Bilirrubina
habibi,El Fin del Mundo,En Peu de Guerra,Bad Romance,Hay Que Venir Al Sur,Grup de Pop,Havana,"Lo Que Pasó, Pasó",15 Dies,Bicicletes,What Makes You Beautiful,Aixeca la mà
El Fin del Mundo,15 Dies,La flaca,Tobogan,Ay Mamá,JA DORMIRÉ,Die Young,Samba do Brasil,Mamma Mia,La_Original.mp3,This Is Me,"Amics, Tiets i Coneguts"
Crazy In Love,This Is Me,DROGA,2000,La Revolución Sexual,Barbie Girl,L'ona,En Peu de Guerra,JA DORMIRÉ,Pull Up,Citant Mercé Rodoreda,Don't Stop The Music
DROGA,Suavemente,JUBILAR-ME,Ferran Adrià,AURORA,Riptide,Ay Mamá,Crazy In Love,YMCA,Die Young,Aixeca la mà,Cuando Tú Vas
Havana,Crazy In Love,The Ketchup Song (Aserejé),La Revolución Sexual,Girls Just Want to Have Fun,I Gotta Feeling,Breaking Free,Vaya Liada,Supermercat,Te Pintaron Pajaritos,NUEVAYoL,Aixeca la mà
Ferran Adrià,Highway to Hell,La flaca,Rosas,La Revolución Sexual,Don't Stop The Music,En Peu de Guerra,Grup de Pop,JUBILAR-ME,Die Young,Girls Just Want to Have Fun,Millor del que pensava
Lágrimas desordenadas,"Marta, Sebas, Guille y los demás",Me Rehúso,Mamipuladora,Jenifer,The Nights,Millor del que pensava,L'ona,Sweet Caroline,Besos,More Than Friends,A quién le importa
Me Rehúso,Besos,Matchday (Ale Ale Ale),En Peu de Guerra,Te he echado de menos,habibi,Mamipuladora,Citant Mercé Rodoreda,Coti x Coti,The Lazy Song,LA PLATJA,Libertad
The Ketchup Song (Aserejé),Tobogan,15 Dies,Hips Don't Lie,La Revolución Sexual,Pasado Pisado,Maquillaje,Matchday (Ale Ale Ale),Uptown Funk,Ay Mamá,LA GAVINA (MAMBO REMIX),Havana
Mon Cheri Go Home,Sweet Caroline,Una Lluna a L'Aigua,Al mar!,Mi Estrella Blanca,Die Young,Lágrimas desordenadas,La Vida Es Un Carnaval,Samba do Brasil,habibi,Física o quí­mica,Escopinya
La Bilirrubina,Millor del que pensava,DROGA,El Fin del Mundo,Me Rehúso,Libertad,Enamorado de la moda juvenil,Pull Up,Gat rumberu,This Is Me,I Gotta Feeling,Fiesta Pagana
Cuando Brille el Sol,Alors on danse,Uptown Funk,Paquito El Chocolatero,Por la Raja de Tu Falda,LA GAVINA (MAMBO REMIX),Al mar!,Rosas,Si Antes Te Hubiera Conocido,Boig Per Tu,AURORA,Me Rehúso
What Makes You Beautiful,Malafici,Cuando Brille el Sol,Que Chévere,The Ketchup Song (Aserejé),Wrecking Ball,habibi,Pull Up,Rosas,Des del Dia 1,Les Teves Pigues,La Revolución Sexual
AURORA,I Want It That Way,Tobogan,Cuando Tú Vas,A quién le importa,Libertad,Carolina,Matchday (Ale Ale Ale),L'ona,Riptide,El Fin del Mundo,Que Chévere
No Puedo Vivir Sin Ti,More Than Friends,Te he echado de menos,Crazy In Love,Don't Stop Me Now,2000,Que Chévere,Alors on danse,A quién le importa,Cómo Te Atreves,Bon dia,La Revolución Sexual
Tokyo,A quién le importa,Me Rehúso,The Lazy Song,What Makes You Beautiful,Highway to Hell,Coti x Coti,Que Chévere,Entre Poetas y Presos,Uptown Funk,Lagrimas De Amor,Camins
YMCA,El Fin del Mundo,Tokyo,Entre Poetas y Presos,"Marta, Sebas, Guille y los demás",Mon Cheri Go Home,Beggin',Rosas,Pasado Pisado,Barbie Girl,Fiesta Pagana,I Gotta Feeling
Vaya Liada,Grup de Pop,Al mar!,Bon dia,Supermercat,Alors on danse,Camins,L'ona,En Peu de Guerra,The Ketchup Song (Aserejé),6 DE FEBRERO,This Is Me
No Puedo Vivir Sin Ti,La Vida Es Un Carnaval,Wrecking Ball,El Fin del Mundo,Por la Raja de Tu Falda,Bon dia,Bad Romance,Citant Mercé Rodoreda,Mamma Mia,The Nights,Te Pintaron Pajaritos,La flaca
2000,Enamorado de la moda juvenil,Dos Hombres Y Un Destino,Vaya Liada,Bad Romance,Don't Stop Me Now,Mi Estrella Blanca,"Amics, Tiets i Coneguts",Devuélveme a mi chica,Que La Detengan,Hay Que Venir Al Sur,Todos los días sale el sol
Una Lluna a L'Aigua,Millor del que pensava,Si Antes Te Hubiera Conocido,Hay Que Venir Al Sur,"Amics, Tiets i Coneguts",15 Dies,Vaya Liada,Gat rumberu,T'he Trobat a Faltar,Matchday (Ale Ale Ale),Boig Per Tu,Física o quí­mica
Bon dia,Todos los días sale el sol,AURORA,15 Dies,Te Pintaron Pajaritos,Entre Poetas y Presos,Aixeca la mà,La Bilirrubina,JUBILAR-ME,Cuando Brille el Sol,More Than Friends,Me Rehúso
Beggin',Pasado Pisado,T'he Trobat a Faltar,Uptown Funk,Don't Stop Me Now,LA PLATJA,What Makes You Beautiful,Vaya Liada,Gat rumberu,Te Pintaron Pajaritos,Tokyo,AURORA
NUEVAYoL,JUBILAR-ME,Boig Per Tu,No Puedo Vivir Sin Ti,Escopinya,The Nights,Em bategues,I Want It That Way,Bad Romance,LA GAVINA (MAMBO REMIX),TOCA,Al mar!
Si Antes Te Hubiera Conocido,Bicicletes,La Revolución Sexual,Te he echado de menos,En Peu de Guerra,No Puedo Vivir Sin Ti,Matchday (Ale Ale Ale),La flaca,Ay Mamá,Wrecking Ball,Tokyo,Barbie Girl
Besos,Don't Stop Me Now,Devuélveme a mi chica,Les Teves Pigues,Havana,Maquillaje,"Amics, Tiets i Coneguts",LA PLATJA,NUEVAYoL,Boig Per Tu,Tokyo,Supermercat
L'ona,Jenifer,Tokyo,Pasado Pisado,Maquillaje,Des del Dia 1,JA DORMIRÉ,Coti x Coti,Mon Cheri Go Home,Vaya Liada,No Puedo Vivir Sin Ti,Al mar!
Supermercat,Samba do Brasil,Crazy In Love,Te he echado de menos,Bon dia,Carolina,Hips Don't Lie,Don't Stop The Music,Coti x Coti,JA DORMIRÉ,Sweet Caroline,Grup de Pop
2000,Cuando Tú Vas,Jenifer,Barbie Girl,Mi Estrella Blanca,Highway to Hell,Te he echado de menos,Devuélveme a mi chica,Des del Dia 1,Hips Don't Lie,JUBILAR-ME,El Fin del Mundo
Todos los días sale el sol,DROGA,Lágrimas desordenadas,NUEVAYoL,Que Chévere,Die Young,Física o quí­mica,Matchday (Ale Ale Ale),Vaya Liada,The Lazy Song,Pull Up,Hips Don't Lie
Que La Detengan,Maquillaje,Me Rehúso,Carolina,DROGA,La flaca,"Amics, Tiets i Coneguts",Lágrimas desordenadas,Grup de Pop,Crazy In Love,15 Dies,Beggin'
LA PLATJA,Crazy In Love,This Is Me,Jenifer,Pull Up,Al mar!,La Vida Es Un Carnaval,Cómo Te Atreves,The Ketchup Song (Aserejé),Ferran Adrià,Libertad,Ay Mamá
Ferran Adrià,TOCA,LA PLATJA,Barbie Girl,Mi Estrella Blanca,Cuando Brille el Sol,The Ketchup Song (Aserejé),Pasado Pisado,The Lazy Song,Bicicletes,"Amics, Tiets i Coneguts",Breaking Free
Don't Stop The Music,Cuando Tú Vas,Hips Don't Lie,6 DE FEBRERO,Sweet Caroline,Tobogan,LA GAVINA (MAMBO REMIX),Por la Raja de Tu Falda,LA PLATJA,Bad Romance,Mamma Mia,Cuando Brille el Sol
Gat rumberu,A quién le importa,Una Lluna a L'Aigua,Te Pintaron Pajaritos,Havana,habibi,TOCA,Crazy In Love,Mi Estrella Blanca,What Makes You Beautiful,"Marta, Sebas, Guille y los demás",Lagrimas De Amor
Barbie Girl,Don't Stop The Music,Em bategues,Breaking Free,La flaca,Paquito El Chocolatero,Mamma Mia,Cuando Tú Vas,La Revolución Sexual,Supermercat,15 Dies,Al mar!
Supermercat,Bicicletes,Riptide,Mi Estrella Blanca,JA DORMIRÉ,A quién le importa,The Nights,Que Chévere,La Bilirrubina,Boig Per Tu,Des del Dia 1,habibi
AURORA,Bicicletes,La flaca,Bailando por Ahi,Beggin',NUEVAYoL,Em bategues,TOCA,Mamipuladora,Paquito El Chocolatero,Tobogan,Maquillaje
6 DE FEBRERO,LA PLATJA,Em bategues,Gat rumberu,Ay Mamá,DROGA,Princesa de mi cuento,You're The One That I Want,JA DORMIRÉ,Bailando por Ahi,Enamorado de la moda juvenil,Camins
Entre Poetas y Presos,TOCA,Wrecking Ball,Malafici,Ay Mamá,Mi Estrella Blanca,This Is Me,Grup de Pop,Alors on danse,Uptown Funk,Coti x Coti,Fiesta Pagana
Dos Hombres Y Un Destino,La flaca,Gat rumberu,TOCA,"Hey, Soul Sister",Fiesta Pagana,Uptown Funk,Al mar!,NUEVAYoL,I Gotta Feeling,The Ketchup Song (Aserejé),"Amics, Tiets i Coneguts"
Pasado Pisado,Fiesta Pagana,Que La Detengan,Grup de Pop,No Puedo Vivir Sin Ti,The Lazy Song,Em bategues,Gat rumberu,En Peu de Guerra,Te Pintaron Pajaritos,TOCA,Supermercat
Crazy In Love,What Makes You Beautiful,Breaking Free,Camins,Em bategues,Citant Mercé Rodoreda,LA PLATJA,TOCA,"Lo Que Pasó, Pasó",L'ona,YMCA,Riptide
Ay Mamá,A quién le importa,Sweet Caroline,La_Original.mp3,Highway to Hell,JUBILAR-ME,Samba do Brasil,AURORA,La Bilirrubina,What Makes You Beautiful,Mi Estrella Blanca,Fiesta Pagana
"Lo Que Pasó, Pasó",AURORA,YMCA,"Amics, Tiets i Coneguts",Supermercat,Que La Detengan,Ferran Adrià,La Bilirrubina,Coti x Coti,Rosas,La_Original.mp3,Matchday (Ale Ale Ale)
15 Dies,Carolina,Te he echado de menos,Malafici,6 DE FEBRERO,Suavemente,Tokyo,The Lazy Song,The Nights,I Gotta Feeling,Samba do Brasil,Die Young
Wrecking Ball,Devuélveme a mi chica,Me Rehúso,Cuando Brille el Sol,Lágrimas desordenadas,Escopinya,Barbie Girl,Ay Mamá,"Lo Que Pasó, Pasó",Hips Don't Lie,La Vida Es Un Carnaval,The Ketchup Song (Aserejé)
Ay Mamá,Escopinya,Girls Just Want to Have Fun,habibi,Fiesta Pagana,Te Pintaron Pajaritos,Alors on danse,Todos los días sale el sol,6 DE FEBRERO,Highway to Hell,Bailando por Ahi,La flaca
JUBILAR-ME,Crazy In Love,Te he echado de menos,Todos los días sale el sol,6 DE FEBRERO,"Hey, Soul Sister",LA PLATJA,Barbie Girl,I Want It That Way,Boig Per Tu,You're The One That I Want,La Bilirrubina
Te he echado de menos,Aixeca la mà,Princesa de mi cuento,15 Dies,Enamorado de la moda juvenil,Bad Romance,Pasado Pisado,No Puedo Vivir Sin Ti,NUEVAYoL,"Marta, Sebas, Guille y los demás",Cómo Te Atreves,Mamipuladora
Enamorado de la moda juvenil,Paquito El Chocolatero,The Lazy Song,The Nights,Que Chévere,Jenifer,Entre Poetas y Presos,Te Pintaron Pajaritos,Aixeca la mà,Tobogan,Fiesta Pagana,habibi
Breaking Free,You're The One That I Want,Cómo Te Atreves,Por la Raja de Tu Falda,Paquito El Chocolatero,More Than Friends,Princesa de mi cuento,Millor del que pensava,El Fin del Mundo,La Vida Es Un Carnaval,Die Young,Al mar!
Sweet Caroline,Girls Just Want to Have Fun,Les Teves Pigues,habibi,La Bilirrubina,Don't Stop Me Now,Una Lluna a L'Aigua,Mamipuladora,Si Antes Te Hubiera Conocido,Te he echado de menos,No Puedo Vivir Sin Ti,Todos los días sale el sol
Citant Mercé Rodoreda,Camins,Paquito El Chocolatero,No Puedo Vivir Sin Ti,Havana,Mamma Mia,Sweet Caroline,Escopinya,Física o quí­mica,Enamorado de la moda juvenil,The Ketchup Song (Aserejé),You're The One That I Want
Rosas,JUBILAR-ME,Escopinya,Don't Stop Me Now,JA DORMIRÉ,Vaya Liada,Malafici,The Ketchup Song (Aserejé),Hips Don't Lie,Breaking Free,"Hey, Soul Sister",La flaca
Que La Detengan,Libertad,Citant Mercé Rodoreda,Bicicletes,Si Antes Te Hubiera Conocido,No Puedo Vivir Sin Ti,Bon dia,Grup de Pop,Bailando por Ahi,Tobogan,Física o quí­mica,Millor del que pensava
Beggin',LA PLATJA,JUBILAR-ME,The Nights,Crazy In Love,Les Teves Pigues,Si Antes Te Hubiera Conocido,Paquito El Chocolatero,Millor del que pensava,Maquillaje,Fiesta Pagana,Wrecking Ball
Libertad,Enamorado de la moda juvenil,Die Young,AURORA,Wrecking Ball,Coti x Coti,Vaya Liada,A quién le importa,T'he Trobat a Faltar,Ay Mamá,Me Rehúso,"Marta, Sebas, Guille y los demás"
Beggin',Crazy In Love,Matchday (Ale Ale Ale),LA GAVINA (MAMBO REMIX),JA DORMIRÉ,Lagrimas De Amor,AURORA,Pasado Pisado,Enamorado de la moda juvenil,Jenifer,Bad Romance,6 DE FEBRERO
La flaca,Dos Hombres Y Un Destino,I Want It That Way,Die Young,Tokyo,Alors on danse,Les Teves Pigues,Em bategues,Camins,Bon dia,More Than Friends,Mon Cheri Go Home
Princesa de mi cuento,Lágrimas desordenadas,Me Rehúso,Don't Stop The Music,Vaya Liada,Riptide,habibi,L'ona,Libertad,Bicicletes,Em bategues,Bad Romance
Suavemente,Highway to Hell,The Ketchup Song (Aserejé),Mamipuladora,Besos,TOCA,Riptide,Gat rumberu,Una Lluna a L'Aigua,Tobogan,Entre Poetas y Presos,Ay Mamá
You're The One That I Want,Highway to Hell,Wrecking Ball,Mi Estrella Blanca,Mamma Mia,Princesa de mi cuento,Matchday (Ale Ale Ale),Bon dia,AURORA,Don't Stop Me Now,Uptown Funk,Crazy In Love
Tobogan,LA PLATJA,Te Pintaron Pajaritos,Rosas,La Vida Es Un Carnaval,Pasado Pisado,Maquillaje,Te he echado de menos,Suavemente,Lagrimas De Amor,Mamma Mia,Me Rehúso
What Makes You Beautiful,Enamorado de la moda juvenil,Girls Just Want to Have Fun,Camins,Supermercat,Paquito El Chocolatero,La_Original.mp3,Highway to Hell,Dos Hombres Y Un Destino,Grup de Pop,I Want It That Way,TOCA
Sweet Caroline,Barbie Girl,La Vida Es Un Carnaval,NUEVAYoL,Enamorado de la moda juvenil,Des del Dia 1,Millor del que pensava,Matchday (Ale Ale Ale),Me Rehúso,"Hey, Soul Sister",Uptown Funk,Alors on danse
Por la Raja de Tu Falda,Uptown Funk,Grup de Pop,Vaya Liada,La flaca,La Bilirrubina,Una Lluna a L'Aigua,Riptide,Havana,"Marta, Sebas, Guille y los demás",L'ona,DROGA
More Than Friends,Tobogan,Mon Cheri Go Home,Te he echado de menos,What Makes You Beautiful,La Revolución Sexual,Vaya Liada,Fiesta Pagana,T'he Trobat a Faltar,6 DE FEBRERO,El Fin del Mundo,Grup de Pop
Tokyo,Supermercat,Coti x Coti,Devuélveme a mi chica,Por la Raja de Tu Falda,Paquito El Chocolatero,Rosas,Girls Just Want to Have Fun,habibi,Bon dia,La flaca,Mi Estrella Blanca
The Lazy Song,La_Original.mp3,6 DE FEBRERO,Tobogan,Gat rumberu,Don't Stop Me Now,Lagrimas De Amor,Al mar!,What Makes You Beautiful,Cuando Brille el Sol,"Lo Que Pasó, Pasó",Ferran Adrià
Em bategues,Bon dia,Princesa de mi cuento,Crazy In Love,Barbie Girl,LA GAVINA (MAMBO REMIX),Gat rumberu,Tobogan,Die Young,Lágrimas desordenadas,Suavemente,"Marta, Sebas, Guille y los demás"
L'ona,Tobogan,Boig Per Tu,La_Original.mp3,I Gotta Feeling,Cómo Te Atreves,Una Lluna a L'Aigua,Bad Romance,Carolina,Por la Raja de Tu Falda,Paquito El Chocolatero,Girls Just Want to Have Fun
The Ketchup Song (Aserejé),Pull Up,15 Dies,Bad Romance,JUBILAR-ME,Coti x Coti,DROGA,LA GAVINA (MAMBO REMIX),Breaking Free,La_Original.mp3,L'ona,Te he echado de menos
Havana,Don't Stop Me Now,Fiesta Pagana,Física o quí­mica,You're The One That I Want,Te Pintaron Pajaritos,Dos Hombres Y Un Destino,LA GAVINA (MAMBO REMIX),This Is Me,Hips Don't Lie,Coti x Coti,Aixeca la mà
Matchday (Ale Ale Ale),I Gotta Feeling,The Ketchup Song (Aserejé),LA PLATJA,En Peu de Guerra,Beggin',Jenifer,DROGA,La flaca,A quién le importa,La Bilirrubina,Todos los días sale el sol
Die Young,A quién le importa,Paquito El Chocolatero,Samba do Brasil,LA GAVINA (MAMBO REMIX),Beggin',Des del Dia 1,Cuando Tú Vas,15 Dies,Física o quí­mica,Cuando Brille el Sol,Enamorado de la moda juvenil
Highway to Hell,A quién le importa,The Lazy Song,Aixeca la mà,Escopinya,En Peu de Guerra,Wrecking Ball,Hay Que Venir Al Sur,"Marta, Sebas, Guille y los demás",YMCA,Em bategues,Don't Stop Me Now
Mon Cheri Go Home,La flaca,YMCA,Des del Dia 1,Mi Estrella Blanca,Millor del que pensava,Por la Raja de Tu Falda,Lágrimas desordenadas,Riptide,Mamma Mia,More Than Friends,Carolina
"Lo Que Pasó, Pasó",Entre Poetas y Presos,Millor del que pensava,Citant Mercé Rodoreda,Hay Que Venir Al Sur,Cuando Tú Vas,Uptown Funk,Enamorado de la moda juvenil,Beggin',Lagrimas De Amor,JUBILAR-ME,TOCA
"Lo Que Pasó, Pasó","Hey, Soul Sister",TOCA,Pasado Pisado,Por la Raja de Tu Falda,YMCA,Paquito El Chocolatero,I Gotta Feeling,Me Rehúso,Malafici,Vaya Liada,Grup de Pop
Si Antes Te Hubiera Conocido,"Hey, Soul Sister",2000,Jenifer,The Ketchup Song (Aserejé),Física o quí­mica,Lagrimas De Amor,Coti x Coti,Suavemente,Enamorado de la moda juvenil,La Revolución Sexual,Riptide
Lágrimas desordenadas,Boig Per Tu,Alors on danse,Todos los días sale el sol,Bicicletes,La Vida Es Un Carnaval,Al mar!,YMCA,The Nights,Les Teves Pigues,Coti x Coti,Girls Just Want to Have Fun
Highway to Hell,Princesa de mi cuento,Millor del que pensava,La Bilirrubina,AURORA,LA PLATJA,Libertad,Por la Raja de Tu Falda,Carolina,Barbie Girl,Supermercat,Suavemente
DROGA,Die Young,Don't Stop The Music,Maquillaje,Por la Raja de Tu Falda,Uptown Funk,TOCA,Enamorado de la moda juvenil,I Gotta Feeling,Te Pintaron Pajaritos,Tokyo,Highway to Hell
