Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Call Me Maybe,Chiquilla,Baby,La Camisa Negra,Umbrella,Cuando zarpa el amor,Rumadai,Potra Salvaje - Hard Remix,Jo Mai Mai,No importa que llueva,Pa amb Oli I Sal,Never Gonna Give You Up
SOLUCIONS i NO PROBLEMES,El Mambo,Chiquilla,Barras Warras,Hui la liem,Sense Tu,Rumadai,Cap. 2: Havia de Passar,Esbarzers - Remix,Purpurina,Besos En Guerra,L'Empordà
APT.,El ataque de las chicas cocodrilo,Call Me Maybe,Jean-Luc,Hui la liem,BAILE INoLVIDABLE,Músic de Carrer,Bailoteo,Moves Like Jagger,Purpurina,Rasputin,Pa amb Oli I Sal
Per la borda,La Faràndula,Party In The U.S.A.,In The Night,Tintin,Torno en Mi,Bailoteo,Nochentera,The Final Countdown,L'orquestra del Titànic,La meva sort,No Rompas Mi Corazón
APT.,Per la borda,Temerario,American Idiot,Umbrella,Waterloo,Cuando zarpa el amor,Toxic,Bailoteo,Esa Diva,Olívia,Seguirem Ballant
El Mambo,Umbrella,Colgando en tus manos,Take on Me,Me Colé en una Fiesta,Sense Tu,Tenía Tanto Que Darte,Esa Diva,TAS LOKO,Girlband,PLAYA DEL INGLÉS,Never Gonna Give You Up
Mari Carmen,Call Me Maybe,La Faràndula,Per la borda,Dancing Queen,Princesas,Rumadai,Salta!!!,La Mujer del Pelotero,Tenía Tanto Que Darte,Moves Like Jagger,We Will Rock You
Party In The U.S.A.,Umbrella,Sarandonga,Toxic,Jo Mai Mai,La Mujer del Pelotero,We Will Rock You,No importa que llueva,Moves Like Jagger,TAS LOKO,Temerario,La meva sort
Bohemian Rhapsody,Mal De Amores,El Mambo,Toxic,Tot el que ens queda - Remix,Jo Mai Mai,Soldadito marinero,No Sigue Modas,Rasputin,Podría Ser Peor,Single Ladies (Put a Ring on It),Pedro
Per la borda,Wannabe,Atrévete-Te-Te,Just Dance,Benvolgut,It's My Life,L'últim segon,La Mujer del Pelotero,Bailoteo,No Sigue Modas,Besos En Guerra,Podría Ser Peor
A la Sombra de la Sierra,Everybody (Backstreet's Back),Chiquilla,La Camisa Negra,Benvolgut,ACTITUD,Danza Kuduro,Yo Quiero Bailar,TAS LOKO,Girlband,Never Gonna Give You Up,Olívia
Mal De Amores,Party In The U.S.A.,MAMA HO SENTO,La Camisa Negra,Jean-Luc,ACTITUD,Espresso Macchiato,Waterloo,It's My Life,Esbarzers - Remix,Rasputin,Never Gonna Give You Up
A la Sombra de la Sierra,Call Me Maybe,La Camisa Negra,Take on Me,Podría Ser Peor,Potra Salvaje - Hard Remix,Si te vas...,Esa Diva,TAS LOKO,Payphone,Single Ladies (Put a Ring on It),Get Lucky
La Morocha,APT.,Mal De Amores,La Despedida,Tití Me Preguntó,Rasputin,Wannabe,Waterloo,Seguirem Ballant,Jo Mai Mai,Besos En Guerra,PLAYA DEL INGLÉS
A la Sombra de la Sierra,Call Me Maybe,La Faràndula,American Idiot,Dancing Queen,Lovumba,Danza Kuduro,Potra Salvaje - Hard Remix,No importa que llueva,No Sigue Modas,We Are Young,Seguirem Ballant
APT.,El Mambo,El ataque de las chicas cocodrilo,Me Colé en una Fiesta,Benvolgut,Cuando zarpa el amor,Toxic,Yo Quiero Bailar,La Mujer del Pelotero,Esbarzers - Remix,No Sigue Modas,Rock & Roll
Mari Carmen,La Tabarra,Me Colé en una Fiesta,Benvolgut,Hui la liem,ACTITUD,Plou,Chica Ye Ye,Si te vas...,No Sigue Modas,Podría Ser Peor,Nochentera
La Morocha,Mal De Amores,L'Empordà,SOLUCIONS i NO PROBLEMES,Mari Carmen,Sarandonga,Danza Kuduro,Esa Diva,No Sigue Modas,TAS LOKO,Pedro,La meva sort
Mal De Amores,La Tabarra,Dancing Queen,20 de abril,Benvolgut,Cuando zarpa el amor,ACTITUD,Músic de Carrer,Soldadito marinero,MOLTA TRALLA,Temerario,No Rompas Mi Corazón
L'Empordà,La Tabarra,Tití Me Preguntó,La Despedida,Umbrella,Me Colé en una Fiesta,Dancing Queen,Espresso Macchiato,Lovumba,Soldadito marinero,Besos En Guerra,L'orquestra del Titànic
A la Sombra de la Sierra,La Morocha,Barras Warras,Atrévete-Te-Te,Eva Maria,Caminando por la vida,Músic de Carrer,Soldadito marinero,TAS LOKO,Girlband,L'orquestra del Titànic,We Are Young
A la Sombra de la Sierra,Mal De Amores,Everybody (Backstreet's Back),Jean-Luc,Me Colé en una Fiesta,Rumadai,Toxic,Tot el que ens queda - Remix,La Mujer del Pelotero,Esa Diva,Bona Vida,We Are Young
Mal De Amores,Amparito Roca,Temerario,MAMA HO SENTO,Take on Me,Lovumba,Sense Tu,Toxic,Besos En Guerra,PLAYA DEL INGLÉS,L'orquestra del Titànic,La meva sort
La Despedida,MAMA HO SENTO,Dancing Queen,Benvolgut,In The Night,Bailoteo,We Will Rock You,No Sigue Modas,Girlband,Seguirem Ballant,L'Empordà,Never Gonna Give You Up
La Morocha,Mal De Amores,Per la borda,Barras Warras,Tití Me Preguntó,Rumadai,Danza Kuduro,Toxic,L'últim segon,Nochentera,Temerario,Get Lucky
Lloverá y Yo Veré,Mari Carmen,El Mambo,La Despedida,La Camisa Negra,Waterloo,Yo Quiero Bailar,We Will Rock You,Besos En Guerra,MOLTA TRALLA,Pedro,La meva sort
La Morocha,Barras Warras,Umbrella,Eva Maria,Zapatillas,The Final Countdown,Princesas,It's My Life,Danza Kuduro,Moves Like Jagger,Pa amb Oli I Sal,Seguirem Ballant
APT.,Baby,Me Colé en una Fiesta,Waterloo,Espresso Macchiato,American Idiot,Potra Salvaje - Hard Remix,Torno en Mi,Tenía Tanto Que Darte,MOLTA TRALLA,Besos En Guerra,Nochentera
Everybody (Backstreet's Back),Amparito Roca,Dancing Queen,Zapatillas,Eva Maria,Sense Tu,Salta!!!,Potra Salvaje - Hard Remix,Jo Mai Mai,Bailoteo,Moves Like Jagger,We Are Young
A la Sombra de la Sierra,Everybody (Backstreet's Back),Lovumba,Sense Tu,Caminando por la vida,It's My Life,Tenía Tanto Que Darte,Bailoteo,We Will Rock You,No importa que llueva,PLAYA DEL INGLÉS,Pedro
Bohemian Rhapsody,Temerario,In The Night,20 de abril,Lovumba,It's My Life,Si te vas...,Jo Mai Mai,We Are Young,Girlband,Single Ladies (Put a Ring on It),Seguirem Ballant
Lloverá y Yo Veré,Bohemian Rhapsody,Party In The U.S.A.,Dancing Queen,Cuando zarpa el amor,Espresso Macchiato,Tenía Tanto Que Darte,Bailoteo,Pa amb Oli I Sal,Payphone,Girlband,Get Lucky
La Despedida,Eva Maria,Atrévete-Te-Te,Espresso Macchiato,Lovumba,Plou,Chica Ye Ye,In The Night,Bona Vida,Nochentera,PLAYA DEL INGLÉS,La meva sort
Bohemian Rhapsody,SOLUCIONS i NO PROBLEMES,Jean-Luc,Espresso Macchiato,Toxic,BAILE INoLVIDABLE,Besos En Guerra,Pa amb Oli I Sal,MOLTA TRALLA,The Final Countdown,Pedro,Olívia
A la Sombra de la Sierra,La Tabarra,Tití Me Preguntó,Jean-Luc,Sarandonga,Me Colé en una Fiesta,Benvolgut,Ni Una Sola Palabra,Esbarzers - Remix,TAS LOKO,Pa amb Oli I Sal,La meva sort
La Morocha,Call Me Maybe,Amparito Roca,Party In The U.S.A.,American Idiot,Atrévete-Te-Te,Zapatillas,Espresso Macchiato,La Mujer del Pelotero,Bailoteo,Ni Una Sola Palabra,Rasputin
La Morocha,APT.,Temerario,Jean-Luc,Danza Kuduro,Potra Salvaje - Hard Remix,Músic de Carrer,We Will Rock You,Besos En Guerra,Payphone,Girlband,The Final Countdown
El ataque de las chicas cocodrilo,Barras Warras,La Tabarra,Jean-Luc,Umbrella,Princesas,Rumadai,No importa que llueva,Bona Vida,Ni Una Sola Palabra,Nochentera,Pedro
Lloverá y Yo Veré,APT.,SOLUCIONS i NO PROBLEMES,Colgando en tus manos,La Camisa Negra,Salta!!!,We Will Rock You,No importa que llueva,Purpurina,We Are Young,Pa amb Oli I Sal,L'orquestra del Titànic
Mari Carmen,Baby,Atrévete-Te-Te,Umbrella,Zapatillas,Chica Ye Ye,Torno en Mi,Moves Like Jagger,Soldadito marinero,No Sigue Modas,We Are Young,Single Ladies (Put a Ring on It)
A la Sombra de la Sierra,El Mambo,Amparito Roca,La Tabarra,Just Dance,Princesas,Waterloo,Jo Mai Mai,Esbarzers - Remix,No Sigue Modas,We Are Young,Olívia
A la Sombra de la Sierra,Bohemian Rhapsody,SOLUCIONS i NO PROBLEMES,Chiquilla,Baby,Dancing Queen,Hui la liem,BAILE INoLVIDABLE,Jo Mai Mai,Moves Like Jagger,Payphone,Single Ladies (Put a Ring on It)
El Mambo,Chiquilla,Rasputin,Benvolgut,Take on Me,Caminando por la vida,Jo Mai Mai,Torno en Mi,TAS LOKO,Payphone,L'Empordà,No Rompas Mi Corazón
Mari Carmen,APT.,Everybody (Backstreet's Back),El Mambo,La Faràndula,Barras Warras,Baby,American Idiot,20 de abril,Tintin,Bailoteo,Ni Una Sola Palabra
Mal De Amores,El ataque de las chicas cocodrilo,Per la borda,La Despedida,La Faràndula,Sarandonga,In The Night,It's My Life,L'últim segon,Jo Mai Mai,No importa que llueva,Ni Una Sola Palabra
La Morocha,El ataque de las chicas cocodrilo,Amparito Roca,Cuando zarpa el amor,BAILE INoLVIDABLE,L'últim segon,Tintin,La Mujer del Pelotero,Bona Vida,Purpurina,L'orquestra del Titànic,La meva sort
El Mambo,Call Me Maybe,Barras Warras,Wannabe,Sense Tu,Chica Ye Ye,Tot el que ens queda - Remix,Bailoteo,Soldadito marinero,The Final Countdown,Never Gonna Give You Up,No Rompas Mi Corazón
Mal De Amores,Party In The U.S.A.,Zapatillas,Hui la liem,Caminando por la vida,Toxic,Músic de Carrer,Torno en Mi,Si te vas...,Olívia,PLAYA DEL INGLÉS,Get Lucky
Mal De Amores,Everybody (Backstreet's Back),SOLUCIONS i NO PROBLEMES,MAMA HO SENTO,Umbrella,Dancing Queen,Take on Me,Atrévete-Te-Te,L'últim segon,Tintin,Bona Vida,Single Ladies (Put a Ring on It)
Mari Carmen,Lloverá y Yo Veré,El ataque de las chicas cocodrilo,MAMA HO SENTO,Lovumba,Plou,Cap. 2: Havia de Passar,Bailoteo,Ni Una Sola Palabra,No Sigue Modas,Get Lucky,No Rompas Mi Corazón
Mari Carmen,APT.,MAMA HO SENTO,Sarandonga,In The Night,Hui la liem,Rumadai,Caminando por la vida,Tenía Tanto Que Darte,Single Ladies (Put a Ring on It),L'orquestra del Titànic,La meva sort
A la Sombra de la Sierra,Mari Carmen,Lloverá y Yo Veré,Jean-Luc,Sarandonga,Baby,20 de abril,Músic de Carrer,Potra Salvaje - Hard Remix,No importa que llueva,Purpurina,PLAYA DEL INGLÉS
Party In The U.S.A.,American Idiot,Un Plan B,Toxic,BAILE INoLVIDABLE,Cap. 2: Havia de Passar,Si te vas...,Tenía Tanto Que Darte,Soldadito marinero,Bona Vida,L'orquestra del Titànic,Rock & Roll
Lloverá y Yo Veré,APT.,Amparito Roca,Me Colé en una Fiesta,20 de abril,Hui la liem,ACTITUD,Dancing Queen,Tot el que ens queda - Remix,Olívia,Payphone,We Are Young
A la Sombra de la Sierra,La Morocha,Lloverá y Yo Veré,Bohemian Rhapsody,La Faràndula,Wannabe,It's My Life,Yo Quiero Bailar,No importa que llueva,Besos En Guerra,The Final Countdown,Get Lucky
La Morocha,Everybody (Backstreet's Back),Amparito Roca,Chiquilla,Me Colé en una Fiesta,20 de abril,Zapatillas,Lovumba,Músic de Carrer,No importa que llueva,No Sigue Modas,MOLTA TRALLA
Mari Carmen,SOLUCIONS i NO PROBLEMES,American Idiot,Un Plan B,Lovumba,Rumadai,Tot el que ens queda - Remix,Jo Mai Mai,No importa que llueva,Purpurina,Pedro,Rock & Roll
Bohemian Rhapsody,El ataque de las chicas cocodrilo,Chiquilla,Tití Me Preguntó,Atrévete-Te-Te,In The Night,Waterloo,Tot el que ens queda - Remix,Cap. 2: Havia de Passar,Purpurina,Rasputin,Get Lucky
La Morocha,Lloverá y Yo Veré,Jean-Luc,Sarandonga,American Idiot,ACTITUD,Bailoteo,Moves Like Jagger,Esa Diva,We Are Young,Single Ladies (Put a Ring on It),L'orquestra del Titànic
APT.,La Tabarra,Jean-Luc,Colgando en tus manos,20 de abril,Caminando por la vida,Chica Ye Ye,BAILE INoLVIDABLE,Cap. 2: Havia de Passar,Ni Una Sola Palabra,Besos En Guerra,Seguirem Ballant
Bohemian Rhapsody,La Despedida,Barras Warras,Wannabe,20 de abril,Tot el que ens queda - Remix,Yo Quiero Bailar,Moves Like Jagger,Bona Vida,Esa Diva,Pa amb Oli I Sal,Rock & Roll
El ataque de las chicas cocodrilo,La Faràndula,La Camisa Negra,Take on Me,Espresso Macchiato,Plou,Pedro,Yo Quiero Bailar,Tenía Tanto Que Darte,Jo Mai Mai,Esbarzers - Remix,L'Empordà
SOLUCIONS i NO PROBLEMES,El ataque de las chicas cocodrilo,Umbrella,Colgando en tus manos,Un Plan B,Lovumba,BAILE INoLVIDABLE,Yo Quiero Bailar,Si te vas...,Moves Like Jagger,MOLTA TRALLA,Get Lucky
Besos En Guerra,SOLUCIONS i NO PROBLEMES,Me Colé en una Fiesta,ACTITUD,Cuando zarpa el amor,Princesas,Caminando por la vida,We Will Rock You,Bona Vida,No Sigue Modas,Rasputin,Temerario
Lloverá y Yo Veré,Tití Me Preguntó,Un Plan B,Zapatillas,Cuando zarpa el amor,Sense Tu,Espresso Macchiato,Músic de Carrer,La Mujer del Pelotero,No Sigue Modas,Besos En Guerra,No Rompas Mi Corazón
L'orquestra del Titànic,Barras Warras,American Idiot,Take on Me,ACTITUD,Plou,L'últim segon,TAS LOKO,Seguirem Ballant,Never Gonna Give You Up,La meva sort,No Rompas Mi Corazón
A la Sombra de la Sierra,El Mambo,Jean-Luc,MAMA HO SENTO,Rumadai,Jo Mai Mai,Tintin,Bailoteo,Podría Ser Peor,MOLTA TRALLA,PLAYA DEL INGLÉS,L'Empordà
Party In The U.S.A.,Colgando en tus manos,Cuando zarpa el amor,Lovumba,Danza Kuduro,Músic de Carrer,Tintin,We Will Rock You,Esbarzers - Remix,Purpurina,L'Empordà,Rock & Roll
Tití Me Preguntó,Wannabe,In The Night,Hui la liem,The Final Countdown,Danza Kuduro,Sense Tu,Moves Like Jagger,Esbarzers - Remix,TAS LOKO,Podría Ser Peor,PLAYA DEL INGLÉS
El Mambo,Amparito Roca,Chiquilla,La Despedida,Zapatillas,Hui la liem,Plou,Tintin,We Will Rock You,Olívia,Girlband,The Final Countdown
Bohemian Rhapsody,El ataque de las chicas cocodrilo,Colgando en tus manos,Zapatillas,Tot el que ens queda - Remix,Potra Salvaje - Hard Remix,Tintin,Bailoteo,Ni Una Sola Palabra,Olívia,Pa amb Oli I Sal,Nochentera
Mari Carmen,Chiquilla,Amparito Roca,Barras Warras,Baby,Eva Maria,Un Plan B,Salta!!!,Esbarzers - Remix,No Sigue Modas,Rasputin,Rock & Roll
Mal De Amores,Everybody (Backstreet's Back),Atrévete-Te-Te,Waterloo,20 de abril,Rumadai,Princesas,Chica Ye Ye,Sense Tu,Tenía Tanto Que Darte,TAS LOKO,No Rompas Mi Corazón
Mal De Amores,Per la borda,Chiquilla,Colgando en tus manos,Me Colé en una Fiesta,Hui la liem,Lovumba,Danza Kuduro,Chica Ye Ye,Bailoteo,Pa amb Oli I Sal,Payphone
Barras Warras,Tití Me Preguntó,Umbrella,Me Colé en una Fiesta,Benvolgut,American Idiot,Cuando zarpa el amor,Jo Mai Mai,Tenía Tanto Que Darte,Get Lucky,Single Ladies (Put a Ring on It),Pedro
APT.,La Faràndula,Princesas,Hui la liem,It's My Life,Chica Ye Ye,L'últim segon,Si te vas...,Yo Quiero Bailar,Esa Diva,Bona Vida,TAS LOKO
La Morocha,SOLUCIONS i NO PROBLEMES,La Faràndula,La Tabarra,Party In The U.S.A.,Eva Maria,Benvolgut,Rumadai,Plou,Torno en Mi,Payphone,Get Lucky
Bohemian Rhapsody,L'orquestra del Titànic,Sarandonga,Atrévete-Te-Te,In The Night,Danza Kuduro,Plou,Salta!!!,La Mujer del Pelotero,Soldadito marinero,Pa amb Oli I Sal,Pedro
Mari Carmen,La Morocha,La Tabarra,20 de abril,Just Dance,Take on Me,Salta!!!,Bailoteo,Moves Like Jagger,Nochentera,PLAYA DEL INGLÉS,Pedro
Per la borda,La Faràndula,20 de abril,Benvolgut,Waterloo,Potra Salvaje - Hard Remix,La meva sort,No Sigue Modas,Olívia,MOLTA TRALLA,Get Lucky,Never Gonna Give You Up
Bohemian Rhapsody,Amparito Roca,Dancing Queen,Un Plan B,Salta!!!,Tot el que ens queda - Remix,Yo Quiero Bailar,We Will Rock You,No importa que llueva,TAS LOKO,Single Ladies (Put a Ring on It),L'Empordà
Lloverá y Yo Veré,Everybody (Backstreet's Back),Party In The U.S.A.,Tití Me Preguntó,Jean-Luc,Pedro,Chica Ye Ye,Soldadito marinero,Pa amb Oli I Sal,PLAYA DEL INGLÉS,L'Empordà,No Rompas Mi Corazón
La Morocha,Umbrella,Take on Me,No Sigue Modas,Rumadai,Danza Kuduro,Sense Tu,Tot el que ens queda - Remix,Bailoteo,Ni Una Sola Palabra,Esbarzers - Remix,Rock & Roll
APT.,Amparito Roca,Party In The U.S.A.,Chiquilla,Eva Maria,Benvolgut,ACTITUD,Potra Salvaje - Hard Remix,Esa Diva,Bona Vida,Nochentera,Seguirem Ballant
Party In The U.S.A.,Jean-Luc,Baby,Colgando en tus manos,Princesas,Hui la liem,Plou,MOLTA TRALLA,Temerario,Never Gonna Give You Up,Rock & Roll,No Rompas Mi Corazón
Amparito Roca,La Despedida,Party In The U.S.A.,Take on Me,In The Night,Toxic,Tot el que ens queda - Remix,Tenía Tanto Que Darte,No importa que llueva,Esbarzers - Remix,Rasputin,Payphone
APT.,Call Me Maybe,La Faràndula,Party In The U.S.A.,Me Colé en una Fiesta,In The Night,Sense Tu,Caminando por la vida,No importa que llueva,Pa amb Oli I Sal,Temerario,Get Lucky
Lloverá y Yo Veré,L'Empordà,Call Me Maybe,L'orquestra del Titànic,Baby,Just Dance,20 de abril,Torno en Mi,We Will Rock You,Temerario,Never Gonna Give You Up,La meva sort
Lloverá y Yo Veré,La Despedida,Barras Warras,No Sigue Modas,Caminando por la vida,BAILE INoLVIDABLE,Torno en Mi,Tintin,Esa Diva,Ni Una Sola Palabra,Podría Ser Peor,L'Empordà
Mari Carmen,Call Me Maybe,Barras Warras,Tití Me Preguntó,Sarandonga,Jo Mai Mai,Bona Vida,Purpurina,Soldadito marinero,Girlband,Nochentera,Seguirem Ballant
MAMA HO SENTO,Sarandonga,Atrévete-Te-Te,Waterloo,Colgando en tus manos,Podría Ser Peor,Torno en Mi,La meva sort,Esa Diva,Rasputin,Pa amb Oli I Sal,Rock & Roll
Rasputin,In The Night,Waterloo,Princesas,Benvolgut,Danza Kuduro,La Mujer del Pelotero,We Are Young,Girlband,Nochentera,PLAYA DEL INGLÉS,No Rompas Mi Corazón
El Mambo,El ataque de las chicas cocodrilo,Chiquilla,La Camisa Negra,Eva Maria,Espresso Macchiato,Chica Ye Ye,Cap. 2: Havia de Passar,Si te vas...,Moves Like Jagger,We Are Young,Temerario
La Faràndula,Chiquilla,MAMA HO SENTO,ACTITUD,Espresso Macchiato,Rumadai,Caminando por la vida,Moves Like Jagger,Soldadito marinero,Bona Vida,Pedro,No Rompas Mi Corazón
