Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Besos En Guerra,La Mujer del Pelotero,L'Empordà,Get Lucky,We Will Rock You,Rock & Roll,Danza Kuduro,ACTITUD,El Vals del Obrero,Llença't,Party In The U.S.A.,Tití Me Preguntó
La Camisa Negra,Mal De Amores,Toxic,DMs,Umbrella,Eva Maria,Esbarzers - Remix,Un Plan B,Take on Me,Atrévete-Te-Te,La meva sort,La Tabarra
Chica Ye Ye,Potra Salvaje - Hard Remix,Somebody That I Used To Know,Volvera,Baby,Yo Quiero Bailar,Benvolgut,Ni Una Sola Palabra,Plou,Atrévete-Te-Te,MAMA HO SENTO,Tití Me Preguntó
In The Night,Bailoteo,Girlband,L'orquestra del Titànic,Pedro,Soldadito marinero,American Idiot,Colgando en tus manos,A la Sombra de la Sierra,La Despedida,Un Plan B,Dancing Queen
Torno en Mi,Potra Salvaje - Hard Remix,Temerario,Umbrella,No Rompas Mi Corazón,La Faràndula,We Will Rock You,Soldadito marinero,Per la borda,L'últim segon,Atrévete-Te-Te,Clavado en Un Bar
Everybody (Backstreet's Back),Torno en Mi,Somebody That I Used To Know,Mal De Amores,Músic de Carrer,Toxic,Princesas,DMs,I'm Yours,Olívia,Wannabe,Purpurina
L'orquestra del Titànic,20 de abril,Seguirem Ballant,Waterloo,Benvolgut,APT.,Espresso Macchiato,A la Sombra de la Sierra,Hui la liem,Esa Diva,MAMA HO SENTO,Tití Me Preguntó
Girlband,Single Ladies (Put a Ring on It),American Idiot,Eva Maria,Jo Mai Mai,Amparito Roca,ACTITUD,Mari Carmen,Take on Me,Seguirem Ballant,Zapatillas,Caminando por la vida
We Are Young,Cap. 2: Havia de Passar,Bailoteo,Potra Salvaje - Hard Remix,Tot el que ens queda - Remix,No Rompas Mi Corazón,Rock & Roll,Espresso Macchiato,ACTITUD,Payphone,Cuando zarpa el amor,Tintin
Chica Ye Ye,Torno en Mi,Pedro,No Rompas Mi Corazón,Benvolgut,Jo Mai Mai,Esbarzers - Remix,Moves Like Jagger,Cuando zarpa el amor,POETA MODERNET,MAMA HO SENTO,Colgando en tus manos
Somebody That I Used To Know,Músic de Carrer,Pedro,L'Empordà,El ataque de las chicas cocodrilo,Seguirem Ballant,American Idiot,Bona Vida,Esa Diva,Clavado en Un Bar,Barras Warras,Un Plan B
La Despedida,No Sigue Modas,Eva Maria,Ventiladors,A la Sombra de la Sierra,Plou,ACTITUD,L'últim segon,It's My Life,Clavado en Un Bar,POETA MODERNET,Dancing Queen
Torno en Mi,Temerario,Waterloo,American Idiot,Get Lucky,Chiquilla,POETA MODERNET,Danza Kuduro,Pa amb Oli I Sal,Llença't,Esa Diva,Bohemian Rhapsody
TAS LOKO,We Are Young,La Mujer del Pelotero,Single Ladies (Put a Ring on It),Rock & Roll,Plou,Moves Like Jagger,A la Sombra de la Sierra,Payphone,Hui la liem,Purpurina,Tití Me Preguntó
Chica Ye Ye,Tití Me Preguntó,Tot el que ens queda - Remix,Rumadai,El ataque de las chicas cocodrilo,Drive By,La Morocha,It's My Life,La Despedida,Esa Diva,MAMA HO SENTO,Caminando por la vida
BAILE INoLVIDABLE,Torno en Mi,Me Colé en una Fiesta,Tot el que ens queda - Remix,La Faràndula,Chiquilla,Plou,Moves Like Jagger,Wannabe,Nochentera,Jean-Luc,Seguirem Ballant
Just Dance,No Rompas Mi Corazón,Rasputin,Jo Mai Mai,Lloverá y Yo Veré,Pa amb Oli I Sal,MAMA HO SENTO,Olívia,Bona Vida,Mal De Amores,La meva sort,Caminando por la vida
In The Night,La Mujer del Pelotero,L'orquestra del Titànic,Tenía Tanto Que Darte,Drive By,Amparito Roca,Purpurina,Danza Kuduro,SOLUCIONS i NO PROBLEMES,La Despedida,Seguirem Ballant,MAMA HO SENTO
Somebody That I Used To Know,Rumadai,Baby,Si te vas...,Dancing Queen,Amparito Roca,Nochentera,La meva sort,Seguirem Ballant,MAMA HO SENTO,Un Plan B,Caminando por la vida
BAILE INoLVIDABLE,Torno en Mi,Never Gonna Give You Up,No importa que llueva,La Morocha,Lloverá y Yo Veré,Pa amb Oli I Sal,Wannabe,Take on Me,MOLTA TRALLA,Esa Diva,La meva sort
Salta!!!,Besos En Guerra,Me Colé en una Fiesta,Sense Tu,Podría Ser Peor,Espresso Macchiato,The Final Countdown,Olívia,Lovumba,Bona Vida,Tintin,Colgando en tus manos
Cap. 2: Havia de Passar,Besos En Guerra,La Mujer del Pelotero,Girlband,Llença't,Umbrella,APT.,Chiquilla,Espresso Macchiato,Take on Me,Cuando zarpa el amor,Jean-Luc
Somebody That I Used To Know,L'orquestra del Titànic,No importa que llueva,Toxic,Podría Ser Peor,Single Ladies (Put a Ring on It),Temerario,Umbrella,Ni Una Sola Palabra,Lloverá y Yo Veré,ACTITUD,PLAYA DEL INGLÉS
Salta!!!,Besos En Guerra,Tot el que ens queda - Remix,El ataque de las chicas cocodrilo,Per la borda,Moves Like Jagger,I'm Yours,Bona Vida,Cuando zarpa el amor,Mal De Amores,MOLTA TRALLA,Si te vas...
Potra Salvaje - Hard Remix,Cap. 2: Havia de Passar,Músic de Carrer,Temerario,Soldadito marinero,APT.,A la Sombra de la Sierra,Mari Carmen,Llença't,MOLTA TRALLA,POETA MODERNET,Caminando por la vida
Salta!!!,Torno en Mi,Cap. 2: Havia de Passar,No importa que llueva,Baby,APT.,Eva Maria,Danza Kuduro,Olívia,Call Me Maybe,Party In The U.S.A.,Barras Warras
Torno en Mi,La Mujer del Pelotero,Pedro,L'Empordà,Sense Tu,Princesas,American Idiot,Sarandonga,Amparito Roca,Per la borda,PLAYA DEL INGLÉS,La meva sort
Músic de Carrer,L'orquestra del Titànic,Sense Tu,American Idiot,No Rompas Mi Corazón,Chiquilla,La Faràndula,Ni Una Sola Palabra,Ventiladors,Moves Like Jagger,Olívia,Lloverá y Yo Veré
BAILE INoLVIDABLE,In The Night,Volvera,L'orquestra del Titànic,Drive By,Single Ladies (Put a Ring on It),La Faràndula,Ni Una Sola Palabra,L'últim segon,Atrévete-Te-Te,Party In The U.S.A.,La Tabarra
TAS LOKO,Just Dance,BAILE INoLVIDABLE,Never Gonna Give You Up,El ataque de las chicas cocodrilo,Sense Tu,Soldadito marinero,Rock & Roll,Espresso Macchiato,El Vals del Obrero,Party In The U.S.A.,Zapatillas
Everybody (Backstreet's Back),Tot el que ens queda - Remix,Waterloo,El Mambo,Plou,Espresso Macchiato,A la Sombra de la Sierra,Mari Carmen,Nochentera,Lloverá y Yo Veré,Atrévete-Te-Te,Un Plan B
Tot el que ens queda - Remix,Pedro,Toxic,Podría Ser Peor,El ataque de las chicas cocodrilo,Per la borda,Danza Kuduro,Wannabe,PLAYA DEL INGLÉS,La Despedida,POETA MODERNET,Zapatillas
In The Night,Besos En Guerra,Bailoteo,Sense Tu,Umbrella,No Rompas Mi Corazón,Per la borda,Olívia,Mari Carmen,PLAYA DEL INGLÉS,Llença't,Zapatillas
Just Dance,Músic de Carrer,Never Gonna Give You Up,No importa que llueva,Rasputin,Espresso Macchiato,ACTITUD,L'últim segon,Call Me Maybe,MOLTA TRALLA,POETA MODERNET,Bohemian Rhapsody
We Are Young,Everybody (Backstreet's Back),Somebody That I Used To Know,Podría Ser Peor,Get Lucky,Si te vas...,POETA MODERNET,A la Sombra de la Sierra,Lovumba,Party In The U.S.A.,Tintin,La Tabarra
Just Dance,Besos En Guerra,Somebody That I Used To Know,Volvera,Girlband,Tenía Tanto Que Darte,Baby,American Idiot,POETA MODERNET,Mari Carmen,Esa Diva,La Tabarra
TAS LOKO,Cap. 2: Havia de Passar,Bailoteo,Somebody That I Used To Know,DMs,Purpurina,Lovumba,El Vals del Obrero,Bona Vida,It's My Life,La Despedida,La meva sort
BAILE INoLVIDABLE,Bailoteo,Podría Ser Peor,Drive By,Umbrella,We Will Rock You,Jo Mai Mai,A la Sombra de la Sierra,Pa amb Oli I Sal,Party In The U.S.A.,Seguirem Ballant,Bohemian Rhapsody
Everybody (Backstreet's Back),La Mujer del Pelotero,No Sigue Modas,Me Colé en una Fiesta,Soldadito marinero,American Idiot,Eva Maria,I'm Yours,Olívia,Pa amb Oli I Sal,Seguirem Ballant,Colgando en tus manos
Cap. 2: Havia de Passar,Never Gonna Give You Up,Baby,Drive By,Chiquilla,Esbarzers - Remix,I'm Yours,ACTITUD,Lovumba,Bona Vida,Nochentera,Party In The U.S.A.
BAILE INoLVIDABLE,In The Night,Me Colé en una Fiesta,20 de abril,Temerario,El ataque de las chicas cocodrilo,Rasputin,Si te vas...,Lovumba,La Despedida,Tintin,Zapatillas
Chica Ye Ye,Cap. 2: Havia de Passar,BAILE INoLVIDABLE,Potra Salvaje - Hard Remix,Waterloo,Sarandonga,Danza Kuduro,Mari Carmen,Take on Me,Hui la liem,It's My Life,Seguirem Ballant
TAS LOKO,Salta!!!,La Camisa Negra,DMs,Waterloo,APT.,Clavado en Un Bar,Ventiladors,Per la borda,Nochentera,Hui la liem,La Despedida
Cap. 2: Havia de Passar,La Camisa Negra,Somebody That I Used To Know,Tot el que ens queda - Remix,L'Empordà,Get Lucky,Ni Una Sola Palabra,Amparito Roca,Per la borda,The Final Countdown,Jean-Luc,Caminando por la vida
Torno en Mi,Rumadai,L'orquestra del Titànic,Waterloo,Sarandonga,Amparito Roca,I'm Yours,Olívia,Atrévete-Te-Te,La Despedida,Zapatillas,Colgando en tus manos
TAS LOKO,Torno en Mi,BAILE INoLVIDABLE,Cap. 2: Havia de Passar,Pedro,Temerario,Princesas,Single Ladies (Put a Ring on It),Benvolgut,Party In The U.S.A.,Seguirem Ballant,Un Plan B
Rumadai,Girlband,No importa que llueva,Waterloo,La Faràndula,Chiquilla,Olívia,ACTITUD,Bohemian Rhapsody,MAMA HO SENTO,La Tabarra,Caminando por la vida
Everybody (Backstreet's Back),Me Colé en una Fiesta,Never Gonna Give You Up,Volvera,Mal De Amores,Waterloo,Umbrella,Pa amb Oli I Sal,Lovumba,PLAYA DEL INGLÉS,SOLUCIONS i NO PROBLEMES,Si te vas...
La Mujer del Pelotero,La Camisa Negra,Girlband,Sense Tu,Yo Quiero Bailar,American Idiot,We Will Rock You,La Morocha,Lovumba,Bona Vida,Llença't,Barras Warras
20 de abril,DMs,Get Lucky,Benvolgut,APT.,We Will Rock You,Esbarzers - Remix,I'm Yours,Danza Kuduro,Lovumba,Payphone,Zapatillas
In The Night,Volvera,Yo Quiero Bailar,Single Ladies (Put a Ring on It),Rasputin,Rock & Roll,POETA MODERNET,Nochentera,PLAYA DEL INGLÉS,SOLUCIONS i NO PROBLEMES,La Despedida,Esa Diva
In The Night,Besos En Guerra,L'orquestra del Titànic,Podría Ser Peor,Umbrella,American Idiot,Amparito Roca,Ventiladors,La Morocha,Nochentera,Hui la liem,Si te vas...
Bailoteo,Besos En Guerra,SOLUCIONS i NO PROBLEMES,20 de abril,Volvera,Pedro,La Faràndula,Lloverá y Yo Veré,Olívia,Atrévete-Te-Te,Tintin,MAMA HO SENTO
TAS LOKO,Everybody (Backstreet's Back),La Camisa Negra,Besos En Guerra,Músic de Carrer,Temerario,Drive By,Single Ladies (Put a Ring on It),Olívia,PLAYA DEL INGLÉS,Take on Me,Esa Diva
Just Dance,Everybody (Backstreet's Back),Never Gonna Give You Up,Pedro,Yo Quiero Bailar,No Rompas Mi Corazón,APT.,Ventiladors,El Vals del Obrero,L'últim segon,It's My Life,Bona Vida
Salta!!!,Tot el que ens queda - Remix,We Will Rock You,Purpurina,Ventiladors,Espresso Macchiato,The Final Countdown,Hui la liem,Mal De Amores,Party In The U.S.A.,MAMA HO SENTO,Bohemian Rhapsody
La Camisa Negra,No Sigue Modas,Baby,American Idiot,Jo Mai Mai,El Mambo,Wannabe,Bona Vida,Tintin,Mal De Amores,Si te vas...,Un Plan B
Never Gonna Give You Up,Toxic,Yo Quiero Bailar,Umbrella,Benvolgut,Ni Una Sola Palabra,Espresso Macchiato,Danza Kuduro,Pa amb Oli I Sal,It's My Life,Party In The U.S.A.,Rumadai
Salta!!!,Torno en Mi,Bailoteo,Everybody (Backstreet's Back),Yo Quiero Bailar,No Rompas Mi Corazón,Jo Mai Mai,Espresso Macchiato,El Mambo,I'm Yours,Take on Me,Llença't
Bailoteo,Pedro,Temerario,No importa que llueva,Tenía Tanto Que Darte,Sense Tu,Sarandonga,Tintin,Mal De Amores,Jean-Luc,Barras Warras,Un Plan B
Tenía Tanto Que Darte,Waterloo,Princesas,La Faràndula,Benvolgut,Plou,Wannabe,PLAYA DEL INGLÉS,El Vals del Obrero,La Despedida,Si te vas...,Caminando por la vida
Salta!!!,Chica Ye Ye,No Sigue Modas,Pedro,Drive By,DMs,Soldadito marinero,PLAYA DEL INGLÉS,Take on Me,Clavado en Un Bar,Rumadai,Dancing Queen
Potra Salvaje - Hard Remix,20 de abril,Drive By,Moves Like Jagger,Pa amb Oli I Sal,Lovumba,Payphone,Nochentera,Cuando zarpa el amor,SOLUCIONS i NO PROBLEMES,Wannabe,La Tabarra
Torno en Mi,Baby,Eva Maria,La Faràndula,Ni Una Sola Palabra,Purpurina,I'm Yours,Nochentera,SOLUCIONS i NO PROBLEMES,MOLTA TRALLA,POETA MODERNET,Bohemian Rhapsody
20 de abril,Sarandonga,Espresso Macchiato,Lloverá y Yo Veré,Olívia,Payphone,Take on Me,Cuando zarpa el amor,Purpurina,Si te vas...,Rumadai,Tití Me Preguntó
TAS LOKO,Temerario,Yo Quiero Bailar,Sarandonga,Rock & Roll,Espresso Macchiato,Esbarzers - Remix,Danza Kuduro,ACTITUD,Atrévete-Te-Te,Si te vas...,Dancing Queen
In The Night,La Camisa Negra,Músic de Carrer,L'Empordà,Baby,Podría Ser Peor,No Rompas Mi Corazón,Benvolgut,ACTITUD,SOLUCIONS i NO PROBLEMES,Bohemian Rhapsody,Caminando por la vida
No Sigue Modas,Toxic,Podría Ser Peor,No Rompas Mi Corazón,Get Lucky,Sarandonga,Ni Una Sola Palabra,MAMA HO SENTO,Mal De Amores,MOLTA TRALLA,Barras Warras,Zapatillas
We Are Young,BAILE INoLVIDABLE,Girlband,Temerario,No Rompas Mi Corazón,Benvolgut,Olívia,Pa amb Oli I Sal,Payphone,Llença't,SOLUCIONS i NO PROBLEMES,Barras Warras
Just Dance,No importa que llueva,Toxic,Tenía Tanto Que Darte,APT.,Rasputin,The Final Countdown,Moves Like Jagger,Take on Me,Atrévete-Te-Te,Esa Diva,Colgando en tus manos
Just Dance,El ataque de las chicas cocodrilo,Drive By,Umbrella,Rock & Roll,Amparito Roca,Esbarzers - Remix,PLAYA DEL INGLÉS,Atrévete-Te-Te,MOLTA TRALLA,Bohemian Rhapsody,Caminando por la vida
Chica Ye Ye,BAILE INoLVIDABLE,Everybody (Backstreet's Back),Temerario,Yo Quiero Bailar,Waterloo,La Morocha,Per la borda,I'm Yours,Esbarzers - Remix,Wannabe,PLAYA DEL INGLÉS
We Are Young,Músic de Carrer,Girlband,20 de abril,Sense Tu,No Rompas Mi Corazón,Espresso Macchiato,Party In The U.S.A.,Danza Kuduro,PLAYA DEL INGLÉS,Hui la liem,Jean-Luc
Chica Ye Ye,Torno en Mi,No Sigue Modas,20 de abril,La Tabarra,Sense Tu,Tenía Tanto Que Darte,Yo Quiero Bailar,La Faràndula,Danza Kuduro,Mari Carmen,Un Plan B
Chica Ye Ye,Torno en Mi,La Camisa Negra,El ataque de las chicas cocodrilo,Seguirem Ballant,Podría Ser Peor,We Will Rock You,It's My Life,Atrévete-Te-Te,Jean-Luc,POETA MODERNET,Un Plan B
La Mujer del Pelotero,Pedro,DMs,Per la borda,Esbarzers - Remix,A la Sombra de la Sierra,ACTITUD,The Final Countdown,Danza Kuduro,Hui la liem,Un Plan B,Caminando por la vida
20 de abril,L'Empordà,Temerario,Yo Quiero Bailar,Ventiladors,El Mambo,Nochentera,ACTITUD,Bona Vida,Llença't,MOLTA TRALLA,La meva sort
Besos En Guerra,Volvera,Podría Ser Peor,Waterloo,Princesas,Get Lucky,Benvolgut,APT.,Ventiladors,The Final Countdown,Call Me Maybe,Barras Warras
Salta!!!,In The Night,La Mujer del Pelotero,Chica Ye Ye,Tot el que ens queda - Remix,Pedro,Temerario,Single Ladies (Put a Ring on It),Wannabe,Bona Vida,El Vals del Obrero,Tintin
Cap. 2: Havia de Passar,Me Colé en una Fiesta,No Rompas Mi Corazón,Sarandonga,We Will Rock You,Chiquilla,Plou,Pa amb Oli I Sal,Bona Vida,Purpurina,Si te vas...,Dancing Queen
Chica Ye Ye,Bailoteo,Besos En Guerra,No importa que llueva,Toxic,Waterloo,Single Ladies (Put a Ring on It),Get Lucky,Rasputin,Party In The U.S.A.,Mari Carmen,MOLTA TRALLA
Everybody (Backstreet's Back),Temerario,Sense Tu,Benvolgut,Rock & Roll,El Mambo,The Final Countdown,Pa amb Oli I Sal,ACTITUD,Take on Me,Tintin,Caminando por la vida
We Are Young,In The Night,No Sigue Modas,Soldadito marinero,APT.,Ventiladors,Bona Vida,Hui la liem,Take on Me,Party In The U.S.A.,La meva sort,La Tabarra
Salta!!!,Bailoteo,Girlband,Never Gonna Give You Up,Drive By,Yo Quiero Bailar,Rock & Roll,Amparito Roca,The Final Countdown,Pa amb Oli I Sal,Zapatillas,Dancing Queen
La Mujer del Pelotero,Volvera,20 de abril,Drive By,Chiquilla,El Mambo,POETA MODERNET,Espresso Macchiato,Wannabe,Party In The U.S.A.,Esa Diva,La meva sort
Me Colé en una Fiesta,20 de abril,Never Gonna Give You Up,Princesas,Soldadito marinero,No Rompas Mi Corazón,Amparito Roca,El Mambo,Rock & Roll,Lovumba,Bona Vida,POETA MODERNET
Just Dance,Potra Salvaje - Hard Remix,Baby,Tenía Tanto Que Darte,Jean-Luc,Single Ladies (Put a Ring on It),Benvolgut,Rock & Roll,Pa amb Oli I Sal,Bona Vida,La Despedida,Colgando en tus manos
Me Colé en una Fiesta,Tenía Tanto Que Darte,American Idiot,No Rompas Mi Corazón,APT.,I'm Yours,Moves Like Jagger,Payphone,El Vals del Obrero,Call Me Maybe,Rumadai,Dancing Queen
Chica Ye Ye,Torno en Mi,Potra Salvaje - Hard Remix,Just Dance,Somebody That I Used To Know,La Mujer del Pelotero,Eva Maria,Amparito Roca,Rock & Roll,The Final Countdown,Lovumba,Call Me Maybe
Potra Salvaje - Hard Remix,Bailoteo,L'orquestra del Titànic,Pedro,Ni Una Sola Palabra,Per la borda,I'm Yours,ACTITUD,Mari Carmen,Esa Diva,Party In The U.S.A.,POETA MODERNET
Somebody That I Used To Know,Never Gonna Give You Up,Temerario,We Will Rock You,Ni Una Sola Palabra,Amparito Roca,Danza Kuduro,Call Me Maybe,Payphone,Llença't,La Despedida,La Tabarra
Cap. 2: Havia de Passar,Just Dance,Me Colé en una Fiesta,Baby,Single Ladies (Put a Ring on It),Amparito Roca,La Morocha,PLAYA DEL INGLÉS,Payphone,Cuando zarpa el amor,Barras Warras,La meva sort
Volvera,L'orquestra del Titànic,L'Empordà,Single Ladies (Put a Ring on It),Jo Mai Mai,La Morocha,El Mambo,The Final Countdown,Lloverá y Yo Veré,Lovumba,Call Me Maybe,POETA MODERNET
Bailoteo,No Sigue Modas,La Camisa Negra,DMs,American Idiot,Waterloo,Sarandonga,Umbrella,Single Ladies (Put a Ring on It),POETA MODERNET,Olívia,Barras Warras
Salta!!!,Chica Ye Ye,La Camisa Negra,We Are Young,BAILE INoLVIDABLE,L'orquestra del Titànic,20 de abril,Chiquilla,Per la borda,El Vals del Obrero,Party In The U.S.A.,MAMA HO SENTO
TAS LOKO,We Are Young,Girlband,Waterloo,Eva Maria,Rasputin,La Morocha,El Mambo,Ventiladors,Esbarzers - Remix,Payphone,MOLTA TRALLA
Just Dance,Everybody (Backstreet's Back),La Camisa Negra,Me Colé en una Fiesta,20 de abril,Waterloo,Ni Una Sola Palabra,Plou,Danza Kuduro,ACTITUD,L'últim segon,Zapatillas
